TimeInterval,GantryID,Direction,VehicleType,交通量
2024-02-27 13:35,大雅-台中,南下,大貨車,21
2024-02-27 13:35,大雅-台中,南下,聯結車,9
2024-02-27 13:35,南屯-台中,北上,小客車,159
2024-02-27 13:35,南屯-台中,北上,小貨車,73
2024-02-27 13:35,南屯-台中,北上,大客車,5
2024-02-27 13:35,南屯-台中,北上,大貨車,35
2024-02-27 13:35,南屯-台中,北上,聯結車,15
2024-02-27 13:35,台中-南屯,南下,小客車,166
2024-02-27 13:35,台中-南屯,南下,小貨車,86
2024-02-27 13:35,台中-南屯,南下,大客車,7
2024-02-27 13:35,台中-南屯,南下,大貨車,14
2024-02-27 13:35,台中-南屯,南下,聯結車,13
2024-02-27 13:35,王田-南屯,北上,小客車,161
2024-02-27 13:35,王田-南屯,北上,小貨車,72
2024-02-27 13:35,王田-南屯,北上,大客車,3
2024-02-27 13:35,王田-南屯,北上,大貨車,31
2024-02-27 13:35,王田-南屯,北上,聯結車,16
2024-02-27 13:35,南屯-王田,南下,小客車,158
2024-02-27 13:35,南屯-王田,南下,小貨車,75
2024-02-27 13:35,南屯-王田,南下,大客車,4
2024-02-27 13:35,南屯-王田,南下,大貨車,20
2024-02-27 13:35,南屯-王田,南下,聯結車,14
2024-02-27 13:35,彰化系統-王田,北上,小客車,161
2024-02-27 13:35,彰化系統-王田,北上,小貨車,75
2024-02-27 13:35,彰化系統-王田,北上,大客車,5
2024-02-27 13:35,彰化系統-王田,北上,大貨車,31
2024-02-27 13:35,彰化系統-王田,北上,聯結車,18
2024-02-27 13:35,王田-彰化系統,南下,小客車,162
2024-02-27 13:35,王田-彰化系統,南下,小貨車,62
2024-02-27 13:35,王田-彰化系統,南下,大客車,2
2024-02-27 13:35,王田-彰化系統,南下,大貨車,38
2024-02-27 13:35,王田-彰化系統,南下,聯結車,14
2024-02-27 13:35,彰化-彰化系統,北上,小客車,230
2024-02-27 13:35,彰化-彰化系統,北上,小貨車,114
2024-02-27 13:35,彰化-彰化系統,北上,大客車,4
2024-02-27 13:35,彰化-彰化系統,北上,大貨車,48
2024-02-27 13:35,彰化-彰化系統,北上,聯結車,26
2024-02-27 13:35,彰化系統-彰化,南下,小客車,193
2024-02-27 13:35,彰化系統-彰化,南下,小貨車,98
2024-02-27 13:35,彰化系統-彰化,南下,大客車,5
2024-02-27 13:35,彰化系統-彰化,南下,大貨車,48
2024-02-27 13:35,彰化系統-彰化,南下,聯結車,24
2024-02-27 13:35,埔鹽系統-彰化,北上,小客車,191
2024-02-27 13:35,埔鹽系統-彰化,北上,小貨車,88
2024-02-27 13:35,埔鹽系統-彰化,北上,大客車,2
2024-02-27 13:35,埔鹽系統-彰化,北上,大貨車,28
2024-02-27 13:35,埔鹽系統-彰化,北上,聯結車,28
2024-02-27 13:35,彰化-埔鹽系統,南下,小客車,178
2024-02-27 13:35,彰化-埔鹽系統,南下,小貨車,86
2024-02-27 13:35,彰化-埔鹽系統,南下,大客車,5
2024-02-27 13:35,彰化-埔鹽系統,南下,大貨車,34
2024-02-27 13:35,彰化-埔鹽系統,南下,聯結車,22
2024-02-27 13:35,員林-埔鹽系統,北上,小客車,177
2024-02-27 13:35,員林-埔鹽系統,北上,小貨車,77
2024-02-27 13:35,員林-埔鹽系統,北上,大客車,3
2024-02-27 13:35,員林-埔鹽系統,北上,大貨車,32
2024-02-27 13:35,員林-埔鹽系統,北上,聯結車,27
2024-02-27 13:35,埔鹽系統-員林,南下,小客車,174
2024-02-27 13:35,埔鹽系統-員林,南下,小貨車,75
2024-02-27 13:35,埔鹽系統-員林,南下,大客車,5
2024-02-27 13:35,埔鹽系統-員林,南下,大貨車,26
2024-02-27 13:35,埔鹽系統-員林,南下,聯結車,25
2024-02-27 13:35,北斗-員林,北上,小客車,172
2024-02-27 13:35,北斗-員林,北上,小貨車,64
2024-02-27 13:35,北斗-員林,北上,大客車,3
2024-02-27 13:35,北斗-員林,北上,大貨車,34
2024-02-27 13:35,北斗-員林,北上,聯結車,22
2024-02-27 13:35,員林-北斗,南下,小客車,157
2024-02-27 13:35,員林-北斗,南下,小貨車,51
2024-02-27 13:35,員林-北斗,南下,大客車,6
2024-02-27 13:35,員林-北斗,南下,大貨車,30
